"group1","variable","variable_level","context","stat_name","stat"
"Placebo","SITEID","701","frequency","n",14
"Placebo","SITEID","701","frequency","pct",16.2790697674419
"Zanomaline Low Dose (54 mg)","SITEID","701","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","701","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","701","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","701","frequency","pct",
"Placebo","SITEID","703","frequency","n",6
"Placebo","SITEID","703","frequency","pct",6.97674418604651
"Zanomaline Low Dose (54 mg)","SITEID","703","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","703","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","703","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","703","frequency","pct",
"Placebo","SITEID","704","frequency","n",9
"Placebo","SITEID","704","frequency","pct",10.4651162790698
"Zanomaline Low Dose (54 mg)","SITEID","704","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","704","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","704","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","704","frequency","pct",
"Placebo","SITEID","705","frequency","n",5
"Placebo","SITEID","705","frequency","pct",5.81395348837209
"Zanomaline Low Dose (54 mg)","SITEID","705","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","705","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","705","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","705","frequency","pct",
"Placebo","SITEID","706","frequency","n",1
"Placebo","SITEID","706","frequency","pct",1.16279069767442
"Zanomaline Low Dose (54 mg)","SITEID","706","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","706","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","706","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","706","frequency","pct",
"Placebo","SITEID","707","frequency","n",1
"Placebo","SITEID","707","frequency","pct",1.16279069767442
"Zanomaline Low Dose (54 mg)","SITEID","707","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","707","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","707","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","707","frequency","pct",
"Placebo","SITEID","708","frequency","n",9
"Placebo","SITEID","708","frequency","pct",10.4651162790698
"Zanomaline Low Dose (54 mg)","SITEID","708","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","708","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","708","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","708","frequency","pct",
"Placebo","SITEID","709","frequency","n",7
"Placebo","SITEID","709","frequency","pct",8.13953488372093
"Zanomaline Low Dose (54 mg)","SITEID","709","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","709","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","709","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","709","frequency","pct",
"Placebo","SITEID","710","frequency","n",11
"Placebo","SITEID","710","frequency","pct",12.7906976744186
"Zanomaline Low Dose (54 mg)","SITEID","710","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","710","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","710","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","710","frequency","pct",
"Placebo","SITEID","711","frequency","n",1
"Placebo","SITEID","711","frequency","pct",1.16279069767442
"Zanomaline Low Dose (54 mg)","SITEID","711","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","711","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","711","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","711","frequency","pct",
"Placebo","SITEID","713","frequency","n",3
"Placebo","SITEID","713","frequency","pct",3.48837209302326
"Zanomaline Low Dose (54 mg)","SITEID","713","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","713","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","713","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","713","frequency","pct",
"Placebo","SITEID","714","frequency","n",2
"Placebo","SITEID","714","frequency","pct",2.32558139534884
"Zanomaline Low Dose (54 mg)","SITEID","714","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","714","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","714","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","714","frequency","pct",
"Placebo","SITEID","715","frequency","n",3
"Placebo","SITEID","715","frequency","pct",3.48837209302326
"Zanomaline Low Dose (54 mg)","SITEID","715","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","715","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","715","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","715","frequency","pct",
"Placebo","SITEID","716","frequency","n",8
"Placebo","SITEID","716","frequency","pct",9.30232558139535
"Zanomaline Low Dose (54 mg)","SITEID","716","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","716","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","716","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","716","frequency","pct",
"Placebo","SITEID","717","frequency","n",2
"Placebo","SITEID","717","frequency","pct",2.32558139534884
"Zanomaline Low Dose (54 mg)","SITEID","717","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","717","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","717","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","717","frequency","pct",
"Placebo","SITEID","718","frequency","n",4
"Placebo","SITEID","718","frequency","pct",4.65116279069767
"Zanomaline Low Dose (54 mg)","SITEID","718","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEID","718","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEID","718","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEID","718","frequency","pct",
"Placebo","SITEGR1","900","frequency","n",86
"Placebo","SITEGR1","900","frequency","pct",100
"Zanomaline Low Dose (54 mg)","SITEGR1","900","frequency","n",0
"Zanomaline Low Dose (54 mg)","SITEGR1","900","frequency","pct",
"Zanomaline High Dose (81 mg)","SITEGR1","900","frequency","n",0
"Zanomaline High Dose (81 mg)","SITEGR1","900","frequency","pct",
