"group1","variable","variable_level","context","stat_name","stat"
"Placebo","OVERALL","Any event","incidence","n_subjects",77
"Placebo","OVERALL","Any event","incidence","pct_subjects",89.5348837209302
"Placebo","OVERALL","Any event","incidence","n_events",2860
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_events",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_events",0
"Placebo","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_subjects",77
"Placebo","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","pct_subjects",89.5348837209302
"Placebo","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_events",2860
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_events",0
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no WHO-DD therapeutic class in source)","incidence","n_events",0
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_subjects",2
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","pct_subjects",2.32558139534884
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_events",20
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ACETAMINOPHEN","incidence","n_events",0
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_subjects",2
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","pct_subjects",2.32558139534884
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_events",9
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADALAT","incidence","n_events",0
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_subjects",2
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","pct_subjects",2.32558139534884
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_events",15
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no WHO-DD therapeutic class in source)","ADVIL","incidence","n_events",0
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","AEROBID","incidence","n_subjects",2
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","AEROBID","incidence","pct_subjects",2.32558139534884
"Placebo","PT|(uncoded - no WHO-DD therapeutic class in source)","AEROBID","incidence","n_events",20
