"group1","variable","variable_level","context","stat_name","stat"
"Placebo","EOSSTT","COMPLETED","frequency","n",58
"Placebo","EOSSTT","COMPLETED","frequency","pct",67.4418604651163
"Zanomaline Low Dose (54 mg)","EOSSTT","COMPLETED","frequency","n",0
"Zanomaline Low Dose (54 mg)","EOSSTT","COMPLETED","frequency","pct",
"Zanomaline High Dose (81 mg)","EOSSTT","COMPLETED","frequency","n",0
"Zanomaline High Dose (81 mg)","EOSSTT","COMPLETED","frequency","pct",
"Placebo","EOSSTT","DISCONTINUED","frequency","n",28
"Placebo","EOSSTT","DISCONTINUED","frequency","pct",32.5581395348837
"Zanomaline Low Dose (54 mg)","EOSSTT","DISCONTINUED","frequency","n",0
"Zanomaline Low Dose (54 mg)","EOSSTT","DISCONTINUED","frequency","pct",
"Zanomaline High Dose (81 mg)","EOSSTT","DISCONTINUED","frequency","n",0
"Zanomaline High Dose (81 mg)","EOSSTT","DISCONTINUED","frequency","pct",
"Placebo","DCSREAS","ADVERSE EVENT","frequency","n",8
"Placebo","DCSREAS","ADVERSE EVENT","frequency","pct",9.30232558139535
"Zanomaline Low Dose (54 mg)","DCSREAS","ADVERSE EVENT","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","ADVERSE EVENT","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","ADVERSE EVENT","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","ADVERSE EVENT","frequency","pct",
"Placebo","DCSREAS","COMPLETED","frequency","n",58
"Placebo","DCSREAS","COMPLETED","frequency","pct",67.4418604651163
"Zanomaline Low Dose (54 mg)","DCSREAS","COMPLETED","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","COMPLETED","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","COMPLETED","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","COMPLETED","frequency","pct",
"Placebo","DCSREAS","DEATH","frequency","n",2
"Placebo","DCSREAS","DEATH","frequency","pct",2.32558139534884
"Zanomaline Low Dose (54 mg)","DCSREAS","DEATH","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","DEATH","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","DEATH","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","DEATH","frequency","pct",
"Placebo","DCSREAS","LACK OF EFFICACY","frequency","n",3
"Placebo","DCSREAS","LACK OF EFFICACY","frequency","pct",3.48837209302326
"Zanomaline Low Dose (54 mg)","DCSREAS","LACK OF EFFICACY","frequency","n",0
"Zanomaline Low Dose (54 mg)","DCSREAS","LACK OF EFFICACY","frequency","pct",
"Zanomaline High Dose (81 mg)","DCSREAS","LACK OF EFFICACY","frequency","n",0
"Zanomaline High Dose (81 mg)","DCSREAS","LACK OF EFFICACY","frequency","pct",
"Placebo","DCSREAS","LOST TO FOLLOW-UP","frequency","n",1
"Placebo","DCSREAS","LOST TO FOLLOW-UP","frequency","pct",1.16279069767442
