"group1","variable","variable_level","context","stat_name","stat"
"Placebo","ITTFL","Y","frequency","n",86
"Placebo","ITTFL","Y","frequency","pct",100
"Zanomaline Low Dose (54 mg)","ITTFL","Y","frequency","n",0
"Zanomaline Low Dose (54 mg)","ITTFL","Y","frequency","pct",
"Zanomaline High Dose (81 mg)","ITTFL","Y","frequency","n",0
"Zanomaline High Dose (81 mg)","ITTFL","Y","frequency","pct",
"Placebo","SAFFL","Y","frequency","n",86
"Placebo","SAFFL","Y","frequency","pct",100
"Zanomaline Low Dose (54 mg)","SAFFL","Y","frequency","n",0
"Zanomaline Low Dose (54 mg)","SAFFL","Y","frequency","pct",
"Zanomaline High Dose (81 mg)","SAFFL","Y","frequency","n",0
"Zanomaline High Dose (81 mg)","SAFFL","Y","frequency","pct",
"Placebo","EFFFL","N","frequency","n",86
"Placebo","EFFFL","N","frequency","pct",100
"Zanomaline Low Dose (54 mg)","EFFFL","N","frequency","n",0
"Zanomaline Low Dose (54 mg)","EFFFL","N","frequency","pct",
"Zanomaline High Dose (81 mg)","EFFFL","N","frequency","n",0
"Zanomaline High Dose (81 mg)","EFFFL","N","frequency","pct",
"Placebo","COMPLFL","N","frequency","n",28
"Placebo","COMPLFL","N","frequency","pct",32.5581395348837
"Zanomaline Low Dose (54 mg)","COMPLFL","N","frequency","n",0
"Zanomaline Low Dose (54 mg)","COMPLFL","N","frequency","pct",
"Zanomaline High Dose (81 mg)","COMPLFL","N","frequency","n",0
"Zanomaline High Dose (81 mg)","COMPLFL","N","frequency","pct",
"Placebo","COMPLFL","Y","frequency","n",58
"Placebo","COMPLFL","Y","frequency","pct",67.4418604651163
"Zanomaline Low Dose (54 mg)","COMPLFL","Y","frequency","n",0
"Zanomaline Low Dose (54 mg)","COMPLFL","Y","frequency","pct",
"Zanomaline High Dose (81 mg)","COMPLFL","Y","frequency","n",0
"Zanomaline High Dose (81 mg)","COMPLFL","Y","frequency","pct",
