"group1","variable","variable_level","context","stat_name","stat"
"Placebo","AVAL","AVGDD","descriptive","N",86
"Placebo","AVAL","AVGDD","descriptive","mean",0
"Placebo","AVAL","AVGDD","descriptive","sd",0
"Placebo","AVAL","AVGDD","descriptive","median",0
"Placebo","AVAL","AVGDD","descriptive","min",0
"Placebo","AVAL","AVGDD","descriptive","max",0
"Placebo","AVAL","CUMDOSE","descriptive","N",86
"Placebo","AVAL","CUMDOSE","descriptive","mean",0
"Placebo","AVAL","CUMDOSE","descriptive","sd",0
"Placebo","AVAL","CUMDOSE","descriptive","median",0
"Placebo","AVAL","CUMDOSE","descriptive","min",0
"Placebo","AVAL","CUMDOSE","descriptive","max",0
"Placebo","AVAL","TRTDUR","descriptive","N",86
"Placebo","AVAL","TRTDUR","descriptive","mean",-Inf
"Placebo","AVAL","TRTDUR","descriptive","sd",
"Placebo","AVAL","TRTDUR","descriptive","median",182
"Placebo","AVAL","TRTDUR","descriptive","min",-Inf
"Placebo","AVAL","TRTDUR","descriptive","max",210
