"group1","variable","variable_level","context","stat_name","stat"
"Placebo","OVERALL","Any event","incidence","n_subjects",65
"Placebo","OVERALL","Any event","incidence","pct_subjects",75.5813953488372
"Placebo","OVERALL","Any event","incidence","n_events",281
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_events",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_events",0
"Placebo","SOC","CARDIAC DISORDERS","incidence","n_subjects",12
"Placebo","SOC","CARDIAC DISORDERS","incidence","pct_subjects",13.953488372093
"Placebo","SOC","CARDIAC DISORDERS","incidence","n_events",26
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","n_events",0
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","n_events",0
"Placebo","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_subjects",1
"Placebo","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","pct_subjects",1.16279069767442
"Placebo","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","ATRIAL FIBRILLATION [POSSIBLE]","incidence","n_events",0
"Placebo","PT|CARDIAC DISORDERS","ATRIAL HYPERTROPHY [REMOTE]","incidence","n_subjects",1
