"group1","variable","variable_level","context","stat_name","stat"
"Placebo","OVERALL","Any event","incidence","n_subjects",86
"Placebo","OVERALL","Any event","incidence","pct_subjects",100
"Placebo","OVERALL","Any event","incidence","n_events",576
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_events",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_events",0
"Placebo","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_subjects",86
"Placebo","SOC","(uncoded - no MedDRA SOC in source)","incidence","pct_subjects",100
"Placebo","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_events",576
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_events",0
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","SOC","(uncoded - no MedDRA SOC in source)","incidence","n_events",0
"Placebo","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_subjects",86
"Placebo","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","pct_subjects",100
"Placebo","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_events",86
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","ALZHEIMER'S DISEASE","incidence","n_events",0
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_subjects",1
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","pct_subjects",1.16279069767442
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0001","incidence","n_events",0
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_subjects",1
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","pct_subjects",1.16279069767442
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0007","incidence","n_events",0
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_subjects",1
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","pct_subjects",1.16279069767442
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0024","incidence","n_events",0
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","n_subjects",1
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","pct_subjects",1.16279069767442
"Placebo","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|(uncoded - no MedDRA SOC in source)","VERBATIM_0025","incidence","n_events",0
