"group1","variable","variable_level","context","stat_name","stat"
"Placebo","OVERALL","Any event","incidence","n_subjects",2
"Placebo","OVERALL","Any event","incidence","pct_subjects",2.32558139534884
"Placebo","OVERALL","Any event","incidence","n_events",2
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","OVERALL","Any event","incidence","n_events",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","OVERALL","Any event","incidence","n_events",0
"Placebo","SOC","CARDIAC DISORDERS","incidence","n_subjects",1
"Placebo","SOC","CARDIAC DISORDERS","incidence","pct_subjects",1.16279069767442
"Placebo","SOC","CARDIAC DISORDERS","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","SOC","CARDIAC DISORDERS","incidence","n_events",0
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","SOC","CARDIAC DISORDERS","incidence","n_events",0
"Placebo","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_subjects",1
"Placebo","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","pct_subjects",1.16279069767442
"Placebo","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|CARDIAC DISORDERS","MYOCARDIAL INFARCTION","incidence","n_events",0
"Placebo","SOC","PSYCHIATRIC DISORDERS","incidence","n_subjects",1
"Placebo","SOC","PSYCHIATRIC DISORDERS","incidence","pct_subjects",1.16279069767442
"Placebo","SOC","PSYCHIATRIC DISORDERS","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","n_events",0
"Zanomaline High Dose (81 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","SOC","PSYCHIATRIC DISORDERS","incidence","n_events",0
"Placebo","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_subjects",1
"Placebo","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","pct_subjects",1.16279069767442
"Placebo","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_events",1
"Zanomaline Low Dose (54 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_subjects",0
"Zanomaline Low Dose (54 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","pct_subjects",
"Zanomaline Low Dose (54 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_events",0
"Zanomaline High Dose (81 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_subjects",0
"Zanomaline High Dose (81 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","pct_subjects",
"Zanomaline High Dose (81 mg)","PT|PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","incidence","n_events",0
