"group1","variable","variable_level","context","stat_name","stat"
"Placebo","BASE","DIABPST","descriptive","N",84
"Placebo","BASE","DIABPST","descriptive","mean",78.0357142857143
"Placebo","BASE","DIABPST","descriptive","sd",10.7046284647337
"Placebo","BASE","DIABPST","descriptive","median",78.5
"Placebo","BASE","DIABPST","descriptive","min",51
"Placebo","BASE","DIABPST","descriptive","max",104
"Placebo","BASE","DIABPSU","descriptive","N",84
"Placebo","BASE","DIABPSU","descriptive","mean",75.6785714285714
"Placebo","BASE","DIABPSU","descriptive","sd",11.1313739983536
"Placebo","BASE","DIABPSU","descriptive","median",76
"Placebo","BASE","DIABPSU","descriptive","min",40
"Placebo","BASE","DIABPSU","descriptive","max",99
"Placebo","BASE","PULSEST","descriptive","N",84
"Placebo","BASE","PULSEST","descriptive","mean",75.2976190476191
"Placebo","BASE","PULSEST","descriptive","sd",12.8539335893958
"Placebo","BASE","PULSEST","descriptive","median",76
"Placebo","BASE","PULSEST","descriptive","min",56
"Placebo","BASE","PULSEST","descriptive","max",133
"Placebo","BASE","PULSESU","descriptive","N",84
"Placebo","BASE","PULSESU","descriptive","mean",70.1428571428571
"Placebo","BASE","PULSESU","descriptive","sd",10.3982654451838
"Placebo","BASE","PULSESU","descriptive","median",70
"Placebo","BASE","PULSESU","descriptive","min",51
"Placebo","BASE","PULSESU","descriptive","max",100
"Placebo","BASE","SYSBPST","descriptive","N",84
"Placebo","BASE","SYSBPST","descriptive","mean",135.761904761905
"Placebo","BASE","SYSBPST","descriptive","sd",17.876159696221
"Placebo","BASE","SYSBPST","descriptive","median",134
"Placebo","BASE","SYSBPST","descriptive","min",90
"Placebo","BASE","SYSBPST","descriptive","max",180
"Placebo","BASE","SYSBPSU","descriptive","N",84
"Placebo","BASE","SYSBPSU","descriptive","mean",138.785714285714
"Placebo","BASE","SYSBPSU","descriptive","sd",16.7015412524276
"Placebo","BASE","SYSBPSU","descriptive","median",140
"Placebo","BASE","SYSBPSU","descriptive","min",90
"Placebo","BASE","SYSBPSU","descriptive","max",180
"Placebo","BASE","TEMP","descriptive","N",84
"Placebo","BASE","TEMP","descriptive","mean",36.5822619047619
"Placebo","BASE","TEMP","descriptive","sd",0.395429768307595
"Placebo","BASE","TEMP","descriptive","median",36.67
"Placebo","BASE","TEMP","descriptive","min",35.33
"Placebo","BASE","TEMP","descriptive","max",37.17
"Placebo","AVAL","DIABPST","descriptive","N",84
"Placebo","AVAL","DIABPST","descriptive","mean",74.7738095238095
"Placebo","AVAL","DIABPST","descriptive","sd",12.1261950751019
"Placebo","AVAL","DIABPST","descriptive","median",76
"Placebo","AVAL","DIABPST","descriptive","min",45
"Placebo","AVAL","DIABPST","descriptive","max",117
"Placebo","AVAL","DIABPSU","descriptive","N",84
"Placebo","AVAL","DIABPSU","descriptive","mean",74.4166666666667
"Placebo","AVAL","DIABPSU","descriptive","sd",10.9326617239114
"Placebo","AVAL","DIABPSU","descriptive","median",76
"Placebo","AVAL","DIABPSU","descriptive","min",44
"Placebo","AVAL","DIABPSU","descriptive","max",109
"Placebo","AVAL","PULSEST","descriptive","N",84
"Placebo","AVAL","PULSEST","descriptive","mean",73.9523809523809
"Placebo","AVAL","PULSEST","descriptive","sd",8.91851298035932
"Placebo","AVAL","PULSEST","descriptive","median",74.5
"Placebo","AVAL","PULSEST","descriptive","min",52
"Placebo","AVAL","PULSEST","descriptive","max",96
"Placebo","AVAL","PULSESU","descriptive","N",84
"Placebo","AVAL","PULSESU","descriptive","mean",69.3095238095238
"Placebo","AVAL","PULSESU","descriptive","sd",9.65548248091132
"Placebo","AVAL","PULSESU","descriptive","median",70
"Placebo","AVAL","PULSESU","descriptive","min",50
"Placebo","AVAL","PULSESU","descriptive","max",92
"Placebo","AVAL","SYSBPST","descriptive","N",84
"Placebo","AVAL","SYSBPST","descriptive","mean",133.47619047619
"Placebo","AVAL","SYSBPST","descriptive","sd",19.517354767486
"Placebo","AVAL","SYSBPST","descriptive","median",130
"Placebo","AVAL","SYSBPST","descriptive","min",90
"Placebo","AVAL","SYSBPST","descriptive","max",199
"Placebo","AVAL","SYSBPSU","descriptive","N",84
"Placebo","AVAL","SYSBPSU","descriptive","mean",137.190476190476
"Placebo","AVAL","SYSBPSU","descriptive","sd",19.1597445655913
"Placebo","AVAL","SYSBPSU","descriptive","median",134.5
"Placebo","AVAL","SYSBPSU","descriptive","min",100
"Placebo","AVAL","SYSBPSU","descriptive","max",180
"Placebo","AVAL","TEMP","descriptive","N",84
"Placebo","AVAL","TEMP","descriptive","mean",36.6517857142857
"Placebo","AVAL","TEMP","descriptive","sd",0.44119542077353
"Placebo","AVAL","TEMP","descriptive","median",36.67
"Placebo","AVAL","TEMP","descriptive","min",34.72
"Placebo","AVAL","TEMP","descriptive","max",37.56
"Placebo","CHG","DIABPST","descriptive","N",84
"Placebo","CHG","DIABPST","descriptive","mean",-3.26190476190476
"Placebo","CHG","DIABPST","descriptive","sd",10.6274469019361
"Placebo","CHG","DIABPST","descriptive","median",-2.5
"Placebo","CHG","DIABPST","descriptive","min",-34
"Placebo","CHG","DIABPST","descriptive","max",24
"Placebo","CHG","DIABPSU","descriptive","N",84
"Placebo","CHG","DIABPSU","descriptive","mean",-1.26190476190476
"Placebo","CHG","DIABPSU","descriptive","sd",11.4050496611787
"Placebo","CHG","DIABPSU","descriptive","median",0
"Placebo","CHG","DIABPSU","descriptive","min",-34
"Placebo","CHG","DIABPSU","descriptive","max",41
"Placebo","CHG","PULSEST","descriptive","N",84
"Placebo","CHG","PULSEST","descriptive","mean",-1.3452380952381
"Placebo","CHG","PULSEST","descriptive","sd",10.6821482064271
"Placebo","CHG","PULSEST","descriptive","median",0
"Placebo","CHG","PULSEST","descriptive","min",-53
"Placebo","CHG","PULSEST","descriptive","max",20
"Placebo","CHG","PULSESU","descriptive","N",84
"Placebo","CHG","PULSESU","descriptive","mean",-0.833333333333333
"Placebo","CHG","PULSESU","descriptive","sd",8.60629264505742
"Placebo","CHG","PULSESU","descriptive","median",-1
"Placebo","CHG","PULSESU","descriptive","min",-24
"Placebo","CHG","PULSESU","descriptive","max",24
"Placebo","CHG","SYSBPST","descriptive","N",84
"Placebo","CHG","SYSBPST","descriptive","mean",-2.28571428571429
"Placebo","CHG","SYSBPST","descriptive","sd",18.6228072557834
"Placebo","CHG","SYSBPST","descriptive","median",0
"Placebo","CHG","SYSBPST","descriptive","min",-46
"Placebo","CHG","SYSBPST","descriptive","max",48
"Placebo","CHG","SYSBPSU","descriptive","N",84
"Placebo","CHG","SYSBPSU","descriptive","mean",-1.5952380952381
"Placebo","CHG","SYSBPSU","descriptive","sd",16.9244380573503
"Placebo","CHG","SYSBPSU","descriptive","median",-4
"Placebo","CHG","SYSBPSU","descriptive","min",-32
"Placebo","CHG","SYSBPSU","descriptive","max",50
"Placebo","CHG","TEMP","descriptive","N",84
"Placebo","CHG","TEMP","descriptive","mean",0.0695238095238093
"Placebo","CHG","TEMP","descriptive","sd",0.488594997636522
"Placebo","CHG","TEMP","descriptive","median",0.0600000000000023
"Placebo","CHG","TEMP","descriptive","min",-1.95
"Placebo","CHG","TEMP","descriptive","max",1.17
